Split	TweetId	username	mentname	Date	group	party	Admiration	Anger	Disgust	Fear	Interest	Joy	Sadness	Surprise
dev	413344341352910848	judgecarter	speakerboehner	2013-12-18	1	R	False	True	False	False	False	False	False	False
dev	1113155737071620102	repagonzalez	speakerpelosi	2019-04-02	-1	R	False	False	False	False	True	False	False	False
dev	686972443513217028	repbillfoster	rodneydavis	2016-01-12	-1	D	False	False	False	False	False	False	False	False
dev	360869458203516928	senatordurbin	stevekingia	2013-07-26	-1	D	False	False	False	False	True	False	False	False
dev	825737817204613124	senbobcasey	corybooker	2017-01-29	1	D	False	False	False	False	False	True	False	False
dev	824421284872392705	repcheri	jasoninthehouse	2017-01-25	-1	D	True	False	False	False	False	False	False	False
dev	1110204378848415745	reploritrahan	repjayapal	2019-03-25	1	D	False	False	False	False	False	True	False	False
dev	598281232334626816	jeffflake	senatorcarper	2015-05-12	-1	R	True	False	False	False	False	True	False	False
dev	1275883677495500800	sendansullivan	lisamurkowski	2020-06-24	1	R	False	False	False	False	False	False	False	False
dev	1106224062685241344	michaelcburgess	speakerpelosi	2019-03-14	-1	R	False	True	True	False	False	False	False	False
dev	356841112104742912	waxmanclimate	speakerboehner	2013-07-15	-1	D	False	False	False	False	True	False	False	False
dev	1278697302543216640	repcharliecrist	congbillposey	2020-07-02	-1	D	False	False	False	False	False	True	False	False
dev	352427093763686400	markamodeinv2	rephorsford	2013-07-03	-1	R	False	False	False	False	False	False	True	False
dev	820333221418336258	rephankjohnson	repjohnlewis	2017-01-14	1	D	True	False	False	False	False	False	False	False
dev	930904840624107521	repguthrie	reppeteaguilar	2017-11-15	-1	R	False	False	False	False	False	True	False	False
dev	930930541418999813	lisamurkowski	senjeffmerkley	2017-11-15	-1	R	False	False	False	False	False	True	False	False
dev	931248007642787840	reprokhanna	reparrington	2017-11-16	-1	D	False	False	False	False	False	False	False	False
dev	350353839259529218	waxmanclimate	repmaloney	2013-06-27	1	D	False	False	False	False	True	False	False	False
dev	468869188929724418	senatorfischer	senatorburr	2014-05-20	1	R	True	False	False	False	False	True	False	False
dev	350319569031802880	repcartwright	repsheaporter	2013-06-27	1	D	False	False	False	False	False	True	False	False
dev	1113167947592335362	usrepkcastor	reprooney	2019-04-02	-1	D	False	False	False	False	True	False	False	False
dev	1113205272280014848	kilili_sablan	senschumer	2019-04-02	1	D	True	False	False	False	False	True	False	False
dev	830067961780117504	repwalorski	repanniekuster	2017-02-10	-1	R	False	False	False	False	False	False	False	False
dev	1268346721240862720	repchrispappas	repanniekuster	2020-06-03	1	D	False	False	False	False	True	True	False	False
dev	840238795534524418	senatorsinema	repstefanik	2017-03-10	-1	D	False	False	False	False	False	False	False	False
dev	1256945339090776064	repthomasmassie	warrendavidson	2020-05-03	1	R	True	False	False	False	False	False	False	False
dev	677175063288786945	senatorheitkamp	lisamurkowski	2015-12-16	-1	D	False	False	False	False	True	False	False	False
dev	378181956711632899	senatorkirk	senatordurbin	2013-09-12	-1	R	False	False	False	False	False	True	False	False
dev	378150094060539904	marshablackburn	repdianeblack	2013-09-12	1	R	False	False	False	False	True	False	False	False
dev	837305809671499776	chelliepingree	jasoninthehouse	2017-03-02	-1	D	False	True	True	False	False	False	False	False
dev	918117807648399360	mikecrapo	pattymurray	2017-10-11	-1	R	False	False	False	False	False	True	False	False
dev	918949985940631552	repjoecourtney	repjohnlarson	2017-10-13	1	D	False	False	False	False	False	False	False	False
dev	1123643791985008641	repdonbeyer	chriscoons	2019-05-01	1	D	False	False	False	False	True	False	False	False
dev	1284504286811099136	senatorwicker	repjohnlewis	2020-07-18	-1	R	True	False	False	False	False	False	True	False
dev	461551827700695040	sen_joemanchin	senatorburr	2014-04-30	-1	D	False	False	False	False	False	False	False	False
dev	375305600743518208	treyradel	roslehtinen	2013-09-04	1	R	False	False	False	False	True	False	False	False
dev	461943113397706752	repcicilline	speakerboehner	2014-05-01	-1	D	False	True	True	False	False	False	False	False
dev	462256550485458944	keithrothfus	peterwelch	2014-05-02	-1	R	False	False	False	False	True	False	False	False
dev	922944852878295040	stevescalise	repandybarr	2017-10-24	1	R	False	False	False	False	True	False	False	False
dev	1116458425309855744	repthomasmassie	repchiproy	2019-04-11	1	R	False	False	False	False	False	True	False	False
dev	598881741328162816	repdankildee	txrandy14	2015-05-14	-1	D	False	False	False	False	False	True	False	False
dev	923305138609147904	senronjohnson	senatorfischer	2017-10-25	1	R	True	False	False	False	False	False	False	False
dev	464179062093938688	senatorburr	reppittenger	2014-05-07	1	R	False	False	False	False	False	True	False	False
dev	363408022988521473	waxmanclimate	repbarbaralee	2013-08-02	1	D	False	False	False	False	True	False	False	False
dev	1260380712491941896	congressmanhice	speakerpelosi	2020-05-12	-1	R	False	True	True	False	False	False	False	False
dev	380685020823683072	repmarkpocan	darrellissa	2013-09-19	-1	D	False	True	True	False	False	False	False	False
dev	819673251832074244	stevescalise	repannwagner	2017-01-12	1	R	True	False	False	False	True	False	False	False
dev	693177164091539458	farenthold	speakerryan	2016-01-29	1	R	False	False	False	False	False	True	False	False
dev	1296891321286823938	senbillcassidy	speakerpelosi	2020-08-21	-1	R	False	True	True	False	False	False	False	False
dev	1092959628999028736	reptimryan	senrobportman	2019-02-05	-1	D	False	False	False	False	False	True	False	False
dev	948287617002504193	senbobcorker	senorrinhatch	2018-01-02	1	R	True	False	False	False	False	True	False	False
dev	949340154803769345	repthomasmassie	reprodblum	2018-01-05	1	R	True	False	False	False	False	True	False	False
dev	1092486743264317442	repangiecraig	reppetestauber	2019-02-04	-1	D	True	False	False	False	False	True	False	False
dev	479324205821865985	repkevinbrady	senjohnthune	2014-06-18	1	R	False	False	False	False	False	True	False	False
dev	344100121836920836	rephankjohnson	senwhitehouse	2013-06-10	1	D	False	False	False	False	True	False	False	False
dev	1090023108805906432	repmattgaetz	speakerpelosi	2019-01-28	-1	R	False	True	True	False	False	False	False	False
dev	481462942731608064	repsteveisrael	repjohnlewis	2014-06-24	1	D	False	False	False	False	False	True	False	False
dev	481916583275937794	repbyrne	repmobrooks	2014-06-25	1	R	False	False	False	False	False	True	False	False
dev	1085692322107588608	repbyrne	repcunningham	2019-01-16	-1	R	False	False	False	False	False	True	False	False
dev	803751147240439808	repadamschiff	reptomprice	2016-11-29	-1	D	False	True	True	False	False	False	False	False
dev	951557764828090369	sentinasmith	senjeffmerkley	2018-01-11	1	D	True	False	False	False	False	True	False	False
dev	695696568159178752	senrobportman	senstabenow	2016-02-05	-1	R	False	False	False	False	False	True	False	False
dev	482547909725278210	repjudychu	speakerboehner	2014-06-27	-1	D	False	True	True	False	False	False	False	False
dev	342698558610370560	repscottpeters	repronbarber	2013-06-06	1	D	False	False	False	False	True	False	False	False
dev	953679181338087426	reprubengallego	senduckworth	2018-01-17	1	D	False	False	False	False	True	False	False	False
dev	1305873245363736583	repwesterman	gopleader	2020-09-15	1	R	False	False	False	False	False	True	False	False
dev	1083052590038962183	senatorbraun	sen_joemanchin	2019-01-09	-1	R	False	False	False	False	False	True	False	False
dev	1093145839508377600	senatorlankford	chriscoons	2019-02-06	-1	R	False	False	False	False	False	True	False	False
dev	344534597595435009	senjackreed	senatordurbin	2013-06-11	1	D	False	False	False	False	False	False	False	False
dev	1295758489755824131	repderekkilmer	repkimschrier	2020-08-18	1	D	False	False	False	False	False	True	False	False
dev	1294345526058590209	reprokhanna	speakerpelosi	2020-08-14	1	D	True	False	False	False	True	False	False	False
dev	819273943269965824	repkclark	repjohnlewis	2017-01-11	1	D	True	False	False	False	False	False	False	False
dev	1101897368046391297	repdelbene	repjohnlewis	2019-03-02	1	D	True	False	False	False	False	False	False	False
dev	471705774847426560	waxmanclimate	repcartwright	2014-05-28	1	D	False	False	False	False	True	False	False	False
dev	349567868528099328	repmarkpocan	keithellison	2013-06-25	1	D	False	False	False	False	True	False	False	False
dev	1286705443402846208	reparrington	repchiproy	2020-07-24	1	R	True	False	False	False	False	True	False	False
dev	938153795145621504	mariodb	repjimcosta	2017-12-05	-1	R	False	False	False	False	False	False	False	False
dev	817414856693444610	repadams	speakerryan	2017-01-06	-1	D	False	True	True	False	False	False	False	False
dev	1288175152656719872	senbillcassidy	senkevincramer	2020-07-28	1	R	True	False	False	False	True	False	False	False
dev	1288255419073388544	repmcgovern	repjayapal	2020-07-28	1	D	True	False	False	False	False	False	False	False
dev	1102619983874613255	repbrownley	desjarlaistn04	2019-03-04	-1	D	False	False	False	False	False	True	False	False
dev	940723778203549702	repgaramendi	repcicilline	2017-12-12	1	D	False	False	False	False	False	True	False	False
dev	811605426622107649	repswalwell	repdonbeyer	2016-12-21	1	D	True	False	False	False	False	True	False	False
dev	1095807525872644096	repdankildee	repbrianfitz	2019-02-13	-1	D	False	False	False	False	False	False	False	False
dev	809116298542247942	repmikequigley	senatordurbin	2016-12-14	1	D	False	False	False	False	False	True	False	False
dev	694265861008392192	rephankjohnson	repjohnlewis	2016-02-01	1	D	True	False	False	False	False	True	False	False
dev	806992086176296960	repedroyce	repgwenmoore	2016-12-08	-1	R	False	False	False	False	True	False	False	False
dev	346733388763394048	reptedyoho	repdougcollins	2013-06-17	1	R	False	False	False	False	True	False	False	False
dev	1093701723942719489	gopleader	repdebdingell	2019-02-07	-1	R	False	False	False	False	False	False	True	False
dev	806211621668327424	repadams	virginiafoxx	2016-12-06	-1	D	False	False	False	False	False	False	False	False
dev	694943716394590208	senatorcardin	senfranken	2016-02-03	1	D	True	False	False	False	False	False	False	False
dev	940953946700599296	repdonbacon	repgaramendi	2017-12-13	-1	R	False	False	False	False	False	False	False	False
dev	606130359932174336	conghuelskamp	repgosar	2015-06-03	1	R	False	False	False	False	False	True	False	False
dev	841392568386637824	rosadelauro	speakerryan	2017-03-13	-1	D	False	True	True	False	False	False	False	False
dev	381096496717783040	marshablackburn	repfredupton	2013-09-20	1	R	False	False	False	False	False	True	False	False
dev	889851825826017281	senatortimscott	repjohnlewis	2017-07-25	-1	R	False	False	False	False	False	True	False	False
dev	1166880549337567234	repjoeneguse	speakerpelosi	2019-08-28	1	D	True	False	False	False	False	True	False	False
dev	889896647811006464	frankpallone	reprichardneal	2017-07-25	1	D	False	False	False	False	True	False	False	False
dev	1166016703085469696	teammoulton	repchrisstewart	2019-08-26	-1	D	True	False	False	False	False	False	False	False
dev	1165043223678447616	repdesaulnier	repmcnerney	2019-08-23	1	D	False	False	False	False	False	False	False	False
dev	1211705328523522049	repjohnyarmuth	repjohnlewis	2019-12-30	1	D	True	False	False	False	False	False	True	False
